ALIERO DANGALADIMA I 
ZUGURU
KOKO MAGAJI
ILLELA/S/GARI
ILLELA SABON GARI
KOKO FIRCIN
DADA/ALELU
JADADI
LANI/MANYAN/TAFUKKA/SHIBA
LANI/MANYA TAFUKKA/SHIBA
BESSE
TAKWARE
DUTSIN MARI/DULMERU
DUTSINMARI/DULMERU
ZARIYA KALAKALA/AMIRU
ZARIYA KALA-KALA/AMIRU
MADACCI/FIRINI
MADACCI/FIRNI
MAIKWARI/ KARAMAR/ DAMBA/ BAKOSHI
MAIKWARI/KARAMAR DAMBA/BAKOSHI/KOKO-BESSE
ANDARAI/ KURUNKWU/ ZONGUN LIBA
ANDARAI/KURUBKUDI/ZUGAN LIBA
GIWA TAZO/ZARA
GIWATAZO/ZARA
GUMBIN KURE
KARAYE/DOGONDAJI
KARAYE/DOGANDAJI
KAWARA/S/SARA/YARKAMBA
KAWARA/S/SARA/YAR KAMBA
KUBERI/ GIDIGA
LIBA/DANWA/KUKA KOGO
LIBA DANWA/KUKU KOGO
MAIYAMA
MUNGADI/BOTORO
SAMBAWA/MAYALO
SARANDOSA/GUBBA
BIRNIN YAURI
GAFARA MACHUPA
GAFARA/MACHUPA
GARIN BAKA/MAKARIN
"GARIN BAKA/
MAKARIN"
KWAKWARAN
LIBATA/KWANGIA
"LIBATA/ 
KWANGA"
KAMBUWA/DANMARAYA
"KAMBUWA/
DANMARAYA"
MAKAWA ULEIRA
NGASKI
UTONO/HOGE
WARRA
ADAI
DANKOLO
DOKA/BERE
GELWASA
JANBIRNI
JANBIRNI/SAKABA
MAZA/MAZA
MAZA-MAZA/SAKABA
MAKUKU
MAKUKU/SAKABA
SAKABA
SAKABA/SAKABA
TUDUN KUKA
TUDUN KUKA/SAKABA
FADA
FADA/SAKABA
ATUWO
BINUWA/GEBE/BUNKUJI
DUGU TSOHO/DUGU RAHA
KAWARA/INGU/SARGO
RAFIN KIRYA/TAFKI TARA
SAKACE/GOLONGO/HUNDEJI
SAWASHI
SHANGA
YARBESSE
ALJANNARE
BANDAN
BARBAREJO
BAKUWAI
DAKINGARI
DANDANE
DANIYA/SHEMA
GINGA
GIRO
KWAIFA
SURU
AYU
BENA
DAN UMARU/MAIRAIRAI
DAN UMARU/ MAI RAIRAI 
DANKO/MAGA
KANYA
KANYA 
KYABU/KANDU
KYABU/KANDU 
RIBAH/MACHIKA
WAJE
WAJE 
WASAGU
WASAGU 
YALMO/SHINDI
YALMO / SHINDI
GWANFI/KELE
CHULUKOMA
GUNGUN SARKI
JIJIMA
TONDI
YELWA CENTRAL
YELWA EAST
YELWA NORTH
YELWA SOUTH
YELWA WEST
ZAMARE
BEDI
CIROMAN DABAI
ISGOGO /DAGO
MANGA/USHE
RAFIN ZURU
RIKOTO
RUMU/DABEN/SEME
SENCHI
SANCHI
TADURGA
ZODI
